Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-19 09:30:00-04:00,165.8000030517578,165.9600067138672,165.5500030517578,165.90060424804688,1357404,0.0,0.0
2023-04-19 09:31:00-04:00,165.9199981689453,165.92999267578125,165.5399932861328,165.61390686035156,247854,0.0,0.0
2023-04-19 09:32:00-04:00,165.60000610351562,165.69700622558594,165.55999755859375,165.61000061035156,192574,0.0,0.0
2023-04-19 09:33:00-04:00,165.61000061035156,165.85989379882812,165.55999755859375,165.75570678710938,224917,0.0,0.0
2023-04-19 09:34:00-04:00,165.73500061035156,166.00999450683594,165.6925048828125,165.88999938964844,248528,0.0,0.0
2023-04-19 09:35:00-04:00,165.88999938964844,166.15989685058594,165.82000732421875,166.13999938964844,201835,0.0,0.0
2023-04-19 09:36:00-04:00,166.13999938964844,166.30999755859375,166.0500030517578,166.1649932861328,273592,0.0,0.0
2023-04-19 09:37:00-04:00,166.16000366210938,166.17999267578125,166.0399932861328,166.1199951171875,143004,0.0,0.0
2023-04-19 09:38:00-04:00,166.11849975585938,166.15499877929688,166.00999450683594,166.14450073242188,159907,0.0,0.0
2023-04-19 09:39:00-04:00,166.16000366210938,166.24000549316406,166.08999633789062,166.13999938964844,216039,0.0,0.0
2023-04-19 09:40:00-04:00,166.1300048828125,166.1699981689453,166.0,166.1199951171875,172043,0.0,0.0
2023-04-19 09:41:00-04:00,166.1199951171875,166.27000427246094,166.07000732421875,166.2001953125,119602,0.0,0.0
2023-04-19 09:42:00-04:00,166.2050018310547,166.41000366210938,166.0802001953125,166.0802001953125,232327,0.0,0.0
2023-04-19 09:43:00-04:00,166.10000610351562,166.13999938964844,166.00999450683594,166.02999877929688,150110,0.0,0.0
2023-04-19 09:44:00-04:00,166.02999877929688,166.24000549316406,166.01010131835938,166.22000122070312,132175,0.0,0.0
2023-04-19 09:45:00-04:00,166.22000122070312,166.36000061035156,166.1300048828125,166.35299682617188,145113,0.0,0.0
2023-04-19 09:46:00-04:00,166.3300018310547,166.5260009765625,166.2449951171875,166.25,223736,0.0,0.0
2023-04-19 09:47:00-04:00,166.25,166.49000549316406,166.2100067138672,166.47540283203125,164812,0.0,0.0
2023-04-19 09:48:00-04:00,166.48500061035156,166.5,166.35000610351562,166.47999572753906,245053,0.0,0.0
2023-04-19 09:49:00-04:00,166.47999572753906,166.5399932861328,166.19000244140625,166.1909942626953,200716,0.0,0.0
2023-04-19 09:50:00-04:00,166.19000244140625,166.25,166.08999633789062,166.19000244140625,158101,0.0,0.0
2023-04-19 09:51:00-04:00,166.17999267578125,166.26010131835938,166.00999450683594,166.08999633789062,153080,0.0,0.0
2023-04-19 09:52:00-04:00,166.0800018310547,166.1300048828125,166.00999450683594,166.0500030517578,156741,0.0,0.0
2023-04-19 09:53:00-04:00,166.0699005126953,166.08999633789062,165.97999572753906,166.0500030517578,104266,0.0,0.0
2023-04-19 09:54:00-04:00,166.05499267578125,166.0800018310547,165.8800048828125,165.9499969482422,162502,0.0,0.0
